gene_name number_of_transposon_per_gene number_of_read_per_gene
YDL199C 32 195
GGC1 15 87
ASF2 33 290
YDL196W 38 432
SEC31 0 0
SNF3 27 117
NUS1 2 2
ARF1 8 29
RPL35A 1 0
UFD2 26 163
RBS1 23 95
PPH22 15 130
YDL187C 9 16
YDL186W 14 84
YDL185C-A 4 29
VMA1 3 2
RPL41A 0 0
YDL183C 28 329
LYS20 19 301
INH1 9 33
YDL180W 21 113
PCL9 10 32
DLD2 58 792
YDL177C 11 65
YDL176W 34 273
AIR2 26 255
DLD1 48 611
PAR32 27 153
YDL172C 15 51
GLT1 124 1962
UGA3 37 535
UGX2 16 146
SFA1 15 120
NRP1 35 261
FAP7 3 4
CDC36 4 21
CDC9 12 28
YDL163W 12 28
YDL162C 34 712
ENT1 16 136
MHF2 6 15
DHH1 8 34
YDL159W-A 10 149
STE7 31 367
YDL159C-B 1 0
YDL158C 2 2
YDL157C 8 73
CMR1 54 652
CLB3 19 188
MSH5 74 634
SAS10 5 12
YDL152W 11 96
BUD30 2 1
RPC53 4 6
ATG9 27 117
NOP14 10 85
RPN5 1 0
LDB17 19 87
COP1 3 3
YDL144C 35 299
CCT4 1 0
CRD1 21 268
BPL1 2 1
RPO21 9 14
SCM3 1 0
RGT2 55 539
ARF2 25 230
RPL35B 3 2
RDI1 22 149
PPH21 22 235
RPL41B 2 5
SRF1 27 147
CDC53 5 17
LYS21 25 287
STF1 13 117
RPP1B 14 114
YDL129W 24 199
VCX1 20 159
PCL2 51 474
CDC48 5 10
HNT1 15 170
YDL124W 24 331
SNA4 19 150
UBP1 26 177
YDL121C 10 157
YFH1 0 0
YDL119C 23 181
YDL118W 5 11
CYK3 37 334
NUP84 4 15
IWR1 26 201
YDL114W-A 0 0
YDL114W 23 204
ATG20 21 204
TRM3 71 809
RRP42 2 1
TMA17 12 96
YDL109C 60 686
KIN28 4 21
MSS2 45 430
PHO2 19 349
NSE4 3 34
QRI7 42 398
QRI1 2 5
POL3 6 54
DUN1 27 134
GET3 10 47
BUG1 24 157
SNU23 5 19
RPN6 1 0
OPI6 13 91
