gene_name number_of_transposon_per_gene number_of_read_per_gene
SEC31 1 0
SNF3 18 182
NUS1 1 0
ARF1 5 15
RPL35A 0 0
UFD2 24 500
RBS1 19 179
PPH22 10 97
YDL187C 9 34
YDL186W 8 72
YDL185C-A 3 56
VMA1 1 0
RPL41A 0 0
YDL183C 20 320
LYS20 16 452
INH1 3 15
YDL180W 11 152
PCL9 9 23
DLD2 40 1193
YDL177C 10 253
YDL176W 19 478
AIR2 18 353
DLD1 40 1108
PAR32 19 389
YDL172C 11 89
GLT1 64 2024
UGA3 25 1331
UGX2 7 41
SFA1 14 234
NRP1 19 392
FAP7 1 0
CDC36 4 60
CDC9 4 139
YDL163W 3 135
YDL162C 23 349
ENT1 12 231
MHF2 3 110
DHH1 2 1
YDL159W-A 9 37
STE7 25 1235
YDL159C-B 2 1
YDL158C 4 25
YDL157C 9 29
CMR1 42 1338
CLB3 16 305
MSH5 43 1462
SAS10 0 0
YDL152W 6 38
BUD30 1 0
RPC53 1 0
ATG9 11 90
NOP14 9 189
RPN5 1 0
LDB17 10 32
COP1 3 19
YDL144C 26 620
CCT4 1 0
CRD1 18 501
BPL1 1 0
RPO21 3 5
SCM3 0 0
RGT2 34 902
ARF2 20 103
RPL35B 4 5
RDI1 7 136
PPH21 15 203
RPL41B 0 0
SRF1 14 382
CDC53 5 42
LYS21 15 541
STF1 7 26
RPP1B 6 18
YDL129W 14 256
VCX1 16 265
PCL2 25 694
CDC48 1 0
HNT1 12 75
YDL124W 19 444
SNA4 13 255
UBP1 17 474
YDL121C 15 363
YFH1 0 0
YDL119C 9 52
YDL118W 3 22
CYK3 27 612
NUP84 2 2
IWR1 19 185
YDL114W-A 1 0
YDL114W 20 263
ATG20 23 554
TRM3 55 1484
RRP42 2 1
TMA17 8 149
YDL109C 45 1444
KIN28 2 13
MSS2 22 361
PHO2 11 383
NSE4 1 0
QRI7 19 373
QRI1 1 0
POL3 4 22
DUN1 29 296
GET3 8 225
BUG1 14 107
SNU23 3 9
RPN6 2 1
OPI6 8 363
PMT1 26 695
YDL094C 27 504
PMT5 47 921
SRP14 5 52
UBX3 22 505
RAM1 3 3
NUR1 24 247
ASM4 22 395
LUC7 7 41
YDL086W 41 1467
YDL086C-A 23 1012
YDL085C-A 5 9
NDE2 24 522
SUB2 0 0
RPS16B 9 26
RPL13A 6 19
RPP1A 1 0
THI3 36 704
MRK1 43 691
MDH3 20 183
VAM6 18 159
RXT3 13 58
RPL31A 0 0
BRE1 7 41
YDL073W 35 719
YET3 10 315
YDL071C 30 387
BDF2 25 255
CBS1 9 80
YDL068W 4 40
COX9 2 2
IDP1 29 654
PEX19 17 319
UBC9 0 0
SYO1 21 245
YDL062W 4 52
RPS29B 2 2
TSR1 1 0
RAD59 33 245
USO1 35 735
YDL057W 35 865
MBP1 35 264
PSA1 2 4
MCH1 70 3460
PBP4 17 230
SLC1 33 929
LHP1 38 809
YDL050C 10 181
KNH1 47 1887
STP4 59 2042
SIT4 5 91
NPC2 21 510
MRP10 6 41
FAD1 2 3
MTF2 26 198
PRP11 3 3
SIR2 65 1681
YDL041W 20 352
NAT1 33 996
PRM7 25 436
BSC1 21 156
PUS9 26 1041
GPR1 29 611
YDL034W 6 94
SLM3 61 1724
YDL032W 11 70
DBP10 8 34
PRP9 8 36
ARP2 1 0
MPS1 18 947
YDL027C 31 748
YDL026W 13 187
RTK1 39 786
YDL025W-A 2 1
DIA3 57 1872
YDL022C-A 27 783
YDL023C 18 321
GPD1 52 1448
GPM2 61 1974
RPN4 58 644
OSH2 152 6051
ERP3 27 768
CDC7 10 199
YDL016C 15 210
TSC13 0 0
NOP1 0 0
SLX5 15 54
YDL012C 46 1353
YDL011C 28 960
GRX6 47 1300
YDL009C 20 81
APC11 10 254
YDL007C-A 16 246
RPT2 1 0
PTC1 12 146
MED2 60 422
ATP16 6 43
MCD1 11 188
NHP10 81 2643
RMD1 226 12643
NTH1 294 12899
YRB1 4 19
RCR2 113 4252
YDR003W-A 11 110
RAD57 75 1268
MAF1 36 653
SOK1 106 2095
TRP1 61 610
YDR008C 62 1545
GAL3 130 3275
YDR010C 107 8245
SNQ2 184 5777
RPL4B 23 557
PSF1 0 0
RAD61 61 1372
HED1 16 381
YDR015C 6 90
DAD1 0 0
KCS1 70 1569
YDR018C 105 2095
GCV1 75 1873
DAS2 65 3152
FAL1 0 0
ATG31 19 916
SES1 5 7
FYV1 46 741
RPS11A 6 23
NSI1 58 1809
VPS54 13 91
REG1 28 509
YDR029W 17 106
RAD28 40 562
MIX14 6 78
PST2 22 454
MRH1 25 930
LYS14 35 590
YDR034C-A 5 12
YDR034W-B 9 41
ARO3 29 622
EHD3 40 1365
KRS1 1 0
ENA5 17 265
ENA2 0 0
ENA1 10 159
RSM10 4 49
YDR042C 9 62
NRG1 15 337
HEM13 0 0
RPC11 0 0
BAP3 28 656
HEM12 2 1
YDR048C 20 580
VMS1 9 157
TPI1 0 0
DET1 22 487
DBF4 0 0
YDR053W 0 0
CDC34 2 10
PST1 20 289
YDR056C 16 256
YOS9 20 390
TGL2 20 379
UBC5 11 223
MAK21 8 198
YDR061W 32 989
LCB2 2 1
AIM7 6 98
RPS13 1 0
RRG1 5 7
RTR2 10 131
OCA6 11 308
DOS2 11 62
DOA4 2 5
FMP16 2 11
PAA1 9 126
IPT1 47 934
SNF11 17 141
TPS2 5 26
PPH3 11 251
RAD55 23 448
SED1 12 94
SHU2 8 313
PET100 10 183
TFB5 0 0
VPS41 8 19
PDC2 2 2
STN1 2 1
RRP8 12 112
TVP23 7 56
AFR1 13 272
SSS1 0 0
RRP1 0 0
SLU7 6 57
YDR089W 48 1454
YDR090C 11 128
RLI1 0 0
UBC13 11 153
DNF2 164 5960
YDR094W 47 1620
YDR095C 56 1312
GIS1 24 191
MSH6 41 866
GRX3 7 152
BMH2 40 712
TVP15 16 189
ARX1 15 208
YDR102C 18 510
STE5 28 385
SPO71 30 612
TMS1 13 269
ARP10 20 333
TMN2 36 512
TRS85 22 374
YDR109C 15 292
FOB1 29 1102
ALT2 25 185
IRC2 7 69
PDS1 9 78
YDR114C 8 18
YDR115W 2 1
MRPL1 7 87
TMA64 7 44
APC4 19 381
YDR118W-A 7 51
VBA4 45 964
COX26 3 5
TRM1 31 905
DPB4 6 70
KIN1 19 432
INO2 0 0
YDR124W 16 357
ECM18 15 168
SWF1 13 68
ARO1 7 14
MTC5 48 1652
SAC6 4 10
FIN1 8 124
YDR131C 19 284
YDR132C 16 631
YDR133C 0 0
YCF1 18 387
VPS61 25 823
RGP1 5 20
HPR1 9 67
RUB1 3 8
MTQ2 0 0
DOP1 1 0
PEX7 7 34
SAN1 30 674
MKC7 15 106
TAF12 6 57
SWI5 26 402
EKI1 17 420
KGD2 12 130
YDR149C 8 15
NUM1 29 528
CTH1 7 88
GIR2 6 89
ENT5 9 81
YDR154C 6 40
CPR1 5 17
RPA14 14 218
YDR157W 30 459
HOM2 10 103
SAC3 15 177
SSY1 0 0
YDR161W 2 1
NBP2 7 46
CWC15 6 15
SEC1 1 0
TRM82 17 152
SEC5 29 259
TAF10 2 6
CDC37 1 0
STB3 5 12
YDR169C-A 2 8
SEC7 5 46
HSP42 14 149
SUP35 0 0
ARG82 1 0
HMO1 17 308
RSM24 8 26
NGG1 4 30
UBC1 0 0
SDH4 8 98
CSN9 2 7
YDR179W-A 4 27
SCC2 0 0
SAS4 18 296
CDC1 0 0
YDR182W-A 3 5
PLP1 12 228
YDR183C-A 3 65
ATC1 9 110
UPS3 8 237
YDR186C 9 58
YDR187C 10 100
CCT6 1 0
SLY1 1 0
RVB1 0 0
HST4 11 156
NUP42 15 242
YDR193W 4 34
MSS116 6 20
YDR194W-A 3 6
REF2 16 385
CAB5 6 46
CBS2 7 87
RKM2 14 413
YDR199W 6 38
VPS64 7 74
SPC19 0 0
RAV2 3 13
YDR203W 2 1
COQ4 8 96
MSC2 17 431
EBS1 25 786
UME6 17 172
MSS4 11 97
YDR209C 2 10
YDR210W 0 0
GCD6 1 0
TCP1 0 0
UPC2 45 652
AHA1 7 28
YDR215C 50 1095
ADR1 20 289
RAD9 6 137
SPR28 22 261
MFB1 6 118
YDR220C 13 200
GTB1 28 510
YDR222W 14 224
CRF1 20 204
HTB1 1 0
HTA1 3 13
ADK1 0 0
SIR4 28 563
PCF11 3 7
IVY1 24 345
YDR230W 13 144
COX20 16 181
HEM1 1 0
RTN1 2 29
LYS4 35 544
PRP42 0 0
FMN1 0 0
MRPL7 4 5
SEC26 0 0
YDR239C 30 570
SNU56 4 14
BUD26 6 29
AMD2 18 271
PRP28 2 17
PEX5 22 371
MNN10 4 24
TRS23 3 21
YDR246W-A 30 1311
VHS1 11 114
YDR248C 8 286
YDR249C 17 255
YDR250C 16 786
PAM1 20 507
BTT1 4 37
MET32 2 5
CHL4 8 124
RMD5 10 204
CTA1 33 1201
RKM4 4 7
HSP78 17 249
YAP6 21 246
SWM1 29 664
EXG2 31 1499
YDR262W 11 55
DIN7 20 234
AKR1 4 18
PEX10 9 18
HEL2 18 210
CIA1 2 1
MSW1 4 4
YDR269C 3 5
CCC2 14 44
YDR271C 5 57
GLO2 9 148
DON1 9 239
YDR274C 59 1720
BSC2 8 115
PMP3 1 0
MTH1 17 315
YDR278C 10 59
RNH202 15 828
RRP45 1 0
PHM6 2 3
YDR282C 7 75
GCN2 33 785
DPP1 12 113
ZIP1 13 359
YDR286C 4 34
INM2 5 39
NSE3 0 0
RTT103 3 8
YDR290W 9 68
HRQ1 24 889
SRP101 0 0
SSD1 27 978
DPL1 14 429
HDA2 12 585
MHR1 3 9
SUR2 3 16
ATP5 3 8
BFR2 1 0
PRO1 1 0
CFT1 2 1
GPI11 1 0
RSC3 1 0
CPR5 3 3
HNT2 6 27
YDR306C 12 100
PMT7 19 593
SRB7 0 0
GIC2 12 140
SUM1 18 364
TFB1 1 0
SSF2 20 342
PIB1 15 720
RAD34 16 542
IPK1 2 1
OMS1 9 57
HIM1 7 35
MCM21 4 12
YFT2 8 125
SWA2 17 187
DAD4 0 0
YDR320W-B 14 189
ASP1 8 232
MRPL35 6 24
TIM11 3 3
PEP7 15 180
UTP4 1 0
YCG1 2 1
YSP2 36 592
YDR327W 1 0
SKP1 0 0
PEX3 9 104
UBX5 9 89
GPI8 3 6
IRC3 6 11
RQC1 18 203
SWR1 18 120
MSN5 14 541
YDR336W 13 252
MRPS28 2 2
YDR338C 33 723
FCF1 1 0
YDR340W 15 149
YDR341C 1 0
HXT7 3 24
HXT6 1 0
YDR344C 20 317
HXT3 22 354
SVF1 16 480
MRP1 4 9
PAL1 26 633
YPS7 15 98
ATP22 4 9
SBE2 16 222
YPQ2 15 230
TRR1 3 3
TRP4 3 8
YDR354C-A 0 0
YDR355C 0 0
SPC110 0 0
CNL1 13 174
GGA1 8 69
EAF1 13 365
OPI7 0 0
BCP1 1 0
TFC6 3 18
ESC2 6 47
SEM1 1 0
CDC40 0 0
ESF1 1 0
YDR366C 8 75
KEI1 0 0
YPR1 8 50
XRS2 31 686
DXO1 14 329
CTS2 11 213
YDR371C-A 1 0
VPS74 1 0
FRQ1 1 0
PHO92 10 118
WIP1 0 0
BCS1 10 58
ARH1 2 2
ATP17 3 6
LSM6 0 0
RGA2 32 1267
SDH6 4 32
ARO10 25 601
YRA1 2 20
YDR381C-A 0 0
RPP2B 1 0
NKP1 11 111
ATO3 14 241
EFT2 1 0
MUS81 28 254
YDR387C 19 259
RVS167 15 176
SAC7 16 134
UBA2 3 66
YDR391C 11 152
SPT3 3 3
SHE9 20 302
RPT3 0 0
SXM1 18 312
YDR396W 3 35
NCB2 3 35
UTP5 6 49
HPT1 5 23
URH1 10 119
YDR401W 14 144
DIT2 20 215
DIT1 22 522
RPB7 0 0
MRP20 15 292
PDR15 110 4664
YDR406W-A 1 0
TRS120 1 0
ADE8 1 0
SIZ1 19 637
STE14 8 35
DFM1 11 230
RRP17 0 0
YDR413C 0 0
ERD1 20 347
YDR415C 11 101
SYF1 11 119
YDR417C 0 0
RPL12B 0 0
RAD30 18 562
HKR1 28 528
