gene_name number_of_transposon_per_gene number_of_read_per_gene
TUP1 1 0
YCR085W 16 57
CSM1 19 511
YCR087W 10 390
YCR087C-A 8 204
ABP1 47 1278
FIG2 44 997
YCR090C 8 41
KIN82 29 1688
MSH3 59 826
CDC39 12 144
CDC50 6 71
OCA4 10 64
YCR095W-A 2 1
HMRA2 0 0
HMRA1 1 0
YCR097W-A 2 8
GIT1 21 350
YCR099C 1 0
YCR100C 7 178
YCR101C 8 121
YCR102C 25 1623
YCR102W-A 3 7
PAU3 7 31
ADH7 53 1913
RDS1 27 786
AAD3 26 601
YCR108C 9 181
COS7 2 1
YDL247W-A 0 0
MPH2 2 1
SOR2 2 30
HXT15 7 164
THI13 7 27
AAD4 26 894
YDL242W 22 807
YDL241W 6 48
YDL240C-A 21 588
LRG1 47 1195
ADY3 25 304
GUD1 21 945
AIM6 21 579
PHO13 13 223
YPD1 1 0
GYP7 34 977
MFG1 33 705
OST4 1 0
BRE4 44 633
PTP1 28 708
SSB1 19 371
YDL228C 6 49
HO 106 1583
GCS1 8 146
SHS1 27 376
WHI4 24 733
HBT1 61 1133
FMP45 14 119
YDL221W 67 2480
CDC13 54 1722
DTD1 13 98
YDL218W 19 365
TIM22 1 0
RRI1 24 625
GDH2 51 1459
PRR2 37 1143
NOP6 13 225
SHR3 9 55
YDL211C 42 743
UGA4 44 986
CWC2 0 0
NHP2 3 4
GLE1 6 81
YDL206W 28 633
HEM3 1 0
RTN2 19 966
ACK1 21 105
MRPL11 5 47
TRM8 24 558
MGT1 15 83
YDL199C 33 1204
GGC1 13 125
ASF2 52 804
YDL196W 35 1157
SEC31 2 2
SNF3 20 223
NUS1 2 1
ARF1 14 320
RPL35A 0 0
UFD2 34 634
RBS1 23 265
PPH22 14 138
YDL187C 10 28
YDL186W 6 20
YDL185C-A 2 2
VMA1 3 10
RPL41A 1 0
YDL183C 23 422
LYS20 19 427
INH1 7 39
YDL180W 19 174
PCL9 17 78
DLD2 45 887
YDL177C 20 602
YDL176W 31 1014
AIR2 23 398
