gene_name number_of_transposon_per_gene number_of_read_per_gene
YDR003W-A 12 82
RAD57 57 695
MAF1 31 532
SOK1 52 506
TRP1 79 1111
YDR008C 88 1247
GAL3 100 1411
YDR010C 95 4060
SNQ2 164 2449
RPL4B 21 275
PSF1 1 0
RAD61 32 150
HED1 10 48
YDR015C 8 21
DAD1 1 0
KCS1 42 404
YDR018C 93 1463
GCV1 54 726
DAS2 49 978
FAL1 2 1
ATG31 12 132
SES1 3 7
FYV1 41 246
RPS11A 7 37
NSI1 36 560
VPS54 13 167
REG1 17 182
YDR029W 11 99
RAD28 37 805
MIX14 5 14
PST2 16 107
MRH1 17 222
LYS14 20 169
YDR034C-A 7 41
YDR034W-B 10 31
ARO3 15 188
EHD3 29 427
KRS1 3 5
ENA5 17 209
ENA2 0 0
ENA1 9 121
RSM10 9 43
YDR042C 2 1
NRG1 12 80
HEM13 0 0
RPC11 1 0
BAP3 26 269
HEM12 1 0
YDR048C 11 134
VMS1 4 4
TPI1 1 0
DET1 22 281
DBF4 0 0
YDR053W 0 0
CDC34 4 29
PST1 22 65
YDR056C 23 216
YOS9 20 211
TGL2 11 255
UBC5 7 27
MAK21 9 44
YDR061W 29 304
LCB2 0 0
AIM7 6 64
RPS13 1 0
RRG1 7 57
RTR2 9 72
OCA6 18 206
DOS2 13 40
DOA4 2 1
FMP16 1 0
PAA1 6 60
IPT1 35 839
SNF11 11 52
TPS2 6 20
PPH3 10 81
RAD55 18 317
SED1 11 104
SHU2 12 53
PET100 9 49
TFB5 0 0
VPS41 8 18
PDC2 1 0
STN1 8 187
RRP8 8 22
TVP23 8 24
AFR1 16 146
SSS1 0 0
RRP1 2 1
SLU7 7 46
YDR089W 21 212
YDR090C 8 63
RLI1 0 0
UBC13 18 176
DNF2 134 2234
YDR094W 44 645
YDR095C 34 772
GIS1 14 145
MSH6 24 166
GRX3 7 42
BMH2 38 430
TVP15 15 200
ARX1 13 73
YDR102C 12 136
STE5 21 259
SPO71 25 261
TMS1 10 122
ARP10 21 240
TMN2 18 403
TRS85 7 152
YDR109C 8 138
FOB1 19 201
ALT2 22 333
IRC2 9 152
PDS1 2 5
YDR114C 8 114
YDR115W 6 9
MRPL1 9 69
TMA64 6 48
APC4 13 47
YDR118W-A 3 2
VBA4 18 267
COX26 4 27
TRM1 21 282
DPB4 5 6
KIN1 16 148
INO2 1 0
YDR124W 8 110
ECM18 12 140
SWF1 13 117
ARO1 3 3
MTC5 41 518
SAC6 7 50
FIN1 15 181
YDR131C 18 330
YDR132C 17 137
YDR133C 1 0
YCF1 33 396
VPS61 24 418
RGP1 8 142
HPR1 21 205
RUB1 1 0
MTQ2 3 6
DOP1 1 0
PEX7 10 51
SAN1 13 111
MKC7 10 221
TAF12 1 0
SWI5 15 345
EKI1 24 382
KGD2 14 114
YDR149C 3 23
NUM1 20 134
CTH1 14 54
GIR2 4 26
ENT5 5 25
YDR154C 0 0
CPR1 2 1
RPA14 11 127
YDR157W 29 241
HOM2 4 8
SAC3 7 61
SSY1 0 0
YDR161W 2 1
NBP2 4 5
CWC15 6 64
SEC1 1 0
TRM82 16 48
SEC5 21 120
TAF10 0 0
CDC37 5 12
STB3 9 63
YDR169C-A 3 28
SEC7 7 58
HSP42 8 41
SUP35 1 0
ARG82 2 1
HMO1 11 208
RSM24 12 52
NGG1 9 65
UBC1 1 0
SDH4 5 108
CSN9 4 15
YDR179W-A 5 11
SCC2 2 1
SAS4 14 133
CDC1 0 0
YDR182W-A 5 23
PLP1 7 26
YDR183C-A 6 47
ATC1 11 68
UPS3 8 57
YDR186C 19 186
YDR187C 10 81
CCT6 2 2
SLY1 2 1
RVB1 1 0
HST4 6 132
NUP42 15 168
YDR193W 4 9
MSS116 6 71
YDR194W-A 0 0
REF2 7 15
CAB5 2 1
CBS2 10 84
RKM2 7 98
YDR199W 4 31
VPS64 10 65
SPC19 1 0
RAV2 6 37
YDR203W 4 13
COQ4 9 89
MSC2 12 32
EBS1 20 173
UME6 16 99
MSS4 9 30
YDR209C 6 25
YDR210W 4 4
GCD6 0 0
TCP1 1 0
UPC2 33 428
AHA1 20 439
YDR215C 41 572
ADR1 19 82
RAD9 24 300
SPR28 22 243
MFB1 1 0
YDR220C 5 15
GTB1 30 244
YDR222W 13 80
CRF1 18 248
HTB1 1 0
HTA1 1 0
ADK1 0 0
SIR4 17 303
PCF11 1 0
IVY1 22 210
YDR230W 12 83
COX20 14 109
HEM1 0 0
RTN1 7 22
LYS4 5 65
PRP42 1 0
FMN1 0 0
MRPL7 5 10
SEC26 0 0
YDR239C 24 367
SNU56 9 115
BUD26 11 135
AMD2 19 233
PRP28 1 0
PEX5 11 97
MNN10 5 13
TRS23 2 4
YDR246W-A 26 631
VHS1 11 139
YDR248C 11 164
YDR249C 11 56
YDR250C 24 361
PAM1 12 106
BTT1 3 11
MET32 5 100
CHL4 11 54
RMD5 4 19
CTA1 33 786
RKM4 9 37
HSP78 21 195
YAP6 20 409
SWM1 33 656
EXG2 46 351
YDR262W 4 3
DIN7 15 110
AKR1 1 0
PEX10 5 60
HEL2 11 19
CIA1 1 0
MSW1 9 58
YDR269C 3 7
CCC2 11 68
YDR271C 3 27
GLO2 8 23
DON1 10 98
