gene_name number_of_transposon_per_gene number_of_read_per_gene
RPL41A 0 0
YDL183C 33 430
LYS20 31 337
INH1 8 90
YDL180W 23 199
PCL9 13 15
DLD2 47 769
YDL177C 22 254
YDL176W 34 351
AIR2 34 390
DLD1 64 883
PAR32 21 223
YDL172C 12 48
GLT1 130 1992
UGA3 41 524
UGX2 15 59
SFA1 38 415
NRP1 35 476
FAP7 3 10
CDC36 4 32
CDC9 8 148
YDL163W 8 148
YDL162C 37 782
ENT1 24 213
MHF2 3 25
DHH1 10 64
YDL159W-A 11 92
STE7 41 455
YDL159C-B 2 6
YDL158C 4 16
YDL157C 8 44
CMR1 86 1195
CLB3 29 321
MSH5 74 1159
SAS10 6 27
YDL152W 15 85
BUD30 9 51
RPC53 11 55
ATG9 18 149
NOP14 13 143
RPN5 1 0
LDB17 17 156
COP1 4 12
YDL144C 23 347
CCT4 0 0
CRD1 23 322
BPL1 1 0
RPO21 7 34
SCM3 1 0
RGT2 76 868
ARF2 25 358
RPL35B 4 8
RDI1 13 147
PPH21 25 433
RPL41B 0 0
SRF1 34 272
CDC53 14 46
LYS21 24 154
STF1 17 171
RPP1B 19 167
YDL129W 29 382
VCX1 38 435
PCL2 59 730
CDC48 4 6
HNT1 20 197
YDL124W 22 427
SNA4 12 166
UBP1 40 476
YDL121C 11 206
YFH1 2 3
YDL119C 21 217
YDL118W 11 99
CYK3 46 379
NUP84 9 45
IWR1 26 188
YDL114W-A 0 0
YDL114W 37 299
ATG20 24 511
TRM3 79 1039
RRP42 1 0
TMA17 23 240
YDL109C 79 1518
KIN28 3 6
MSS2 8 60
PHO2 20 192
NSE4 1 0
QRI7 28 468
QRI1 4 6
POL3 8 33
DUN1 43 710
GET3 14 139
BUG1 36 289
SNU23 3 21
RPN6 0 0
OPI6 11 152
PMT1 39 493
YDL094C 43 860
PMT5 68 775
SRP14 15 176
UBX3 38 353
RAM1 4 7
NUR1 41 532
ASM4 20 129
LUC7 10 41
YDL086W 40 1018
YDL086C-A 25 778
YDL085C-A 7 193
NDE2 42 678
SUB2 2 1
RPS16B 14 141
RPL13A 16 131
RPP1A 4 13
THI3 42 627
MRK1 48 428
MDH3 24 165
VAM6 6 22
RXT3 33 349
RPL31A 0 0
BRE1 14 95
YDL073W 45 500
YET3 9 90
YDL071C 51 409
BDF2 54 480
CBS1 3 4
YDL068W 0 0
COX9 0 0
IDP1 39 700
PEX19 44 870
UBC9 1 0
SYO1 21 283
YDL062W 8 57
RPS29B 2 3
TSR1 1 0
RAD59 32 163
USO1 52 680
YDL057W 61 885
MBP1 57 948
PSA1 0 0
MCH1 80 1471
PBP4 23 156
SLC1 44 744
LHP1 47 587
YDL050C 18 232
KNH1 60 1070
STP4 78 1586
SIT4 6 50
NPC2 20 116
MRP10 7 31
FAD1 1 0
MTF2 7 14
PRP11 4 7
SIR2 98 1534
YDL041W 33 464
NAT1 53 815
PRM7 30 418
BSC1 22 209
PUS9 39 595
GPR1 35 427
YDL034W 6 27
SLM3 82 1646
YDL032W 15 25
DBP10 8 22
PRP9 11 62
ARP2 2 1
MPS1 13 228
YDL027C 40 495
YDL026W 16 114
RTK1 47 430
YDL025W-A 0 0
DIA3 62 976
YDL022C-A 33 710
YDL023C 18 164
GPD1 65 1109
GPM2 69 1052
RPN4 66 587
OSH2 177 3698
ERP3 32 349
CDC7 16 67
YDL016C 22 83
TSC13 0 0
NOP1 0 0
SLX5 15 88
YDL012C 67 1002
YDL011C 51 511
GRX6 75 772
YDL009C 29 153
APC11 12 193
YDL007C-A 21 198
RPT2 0 0
PTC1 12 78
MED2 79 522
ATP16 0 0
MCD1 14 146
NHP10 88 1215
RMD1 259 8682
NTH1 350 8113
YRB1 2 1
RCR2 143 2195
YDR003W-A 20 89
RAD57 118 1171
MAF1 34 476
SOK1 130 1159
TRP1 123 1535
YDR008C 112 1658
GAL3 150 2569
YDR010C 146 5882
SNQ2 207 3275
RPL4B 25 324
PSF1 1 0
RAD61 83 748
HED1 22 241
YDR015C 8 37
DAD1 1 0
KCS1 89 1152
YDR018C 132 2179
GCV1 102 1961
DAS2 93 1854
FAL1 2 1
ATG31 18 287
SES1 6 19
FYV1 77 948
RPS11A 8 33
NSI1 76 914
VPS54 15 100
REG1 47 521
YDR029W 15 109
RAD28 79 1279
MIX14 11 114
PST2 40 244
MRH1 28 408
LYS14 39 342
YDR034C-A 5 9
YDR034W-B 8 18
ARO3 47 691
EHD3 64 1325
KRS1 4 38
ENA5 39 713
ENA2 0 0
ENA1 19 360
RSM10 4 7
