gene_name number_of_transposon_per_gene number_of_read_per_gene
RPS14A 9 101
BPH1 67 2117
SNT1 57 965
ELO2 14 227
RRP43 2 2
RBK1 39 813
PHO87 86 1608
BUD5 34 292
YCR038W-A 0 0
MATALPHA2 0 0
MATALPHA1 0 0
YCR041W 1 0
TAF2 12 130
YCR043C 11 628
PER1 2 1
RRT12 92 2405
YCR045W-A 41 596
IMG1 12 142
BUD23 6 10
YCR047W-A 0 0
YCR049C 22 395
ARE1 84 2630
YCR050C 12 406
YCR051W 17 212
RSC6 6 20
THR4 0 0
CTR86 8 143
PWP2 7 99
YIH1 37 1406
TAH1 9 184
YCR061W 183 6716
YCR064C 42 1747
BUD31 7 40
HCM1 53 1004
RAD18 13 194
SED4 72 1596
ATG15 40 1172
CPR4 25 1266
IMG2 4 22
RSA4 1 0
SSK22 86 2957
SOL2 26 657
ERS1 23 412
YCR075W-A 1 0
FUB1 16 192
PAT1 8 35
PTC6 20 485
SRB8 16 172
YCR081C-A 1 0
AHC2 12 161
TRX3 5 37
TUP1 1 0
YCR085W 13 37
CSM1 15 232
YCR087W 4 65
YCR087C-A 3 59
ABP1 41 749
FIG2 64 1309
YCR090C 5 171
KIN82 28 452
MSH3 65 1336
CDC39 14 111
CDC50 1 0
OCA4 20 277
YCR095W-A 10 89
HMRA2 0 0
HMRA1 0 0
YCR097W-A 1 0
GIT1 53 1058
YCR099C 7 231
YCR100C 19 575
YCR101C 12 363
YCR102C 30 567
YCR102W-A 1 0
PAU3 7 164
ADH7 42 1175
RDS1 42 1528
AAD3 27 499
YCR108C 8 131
COS7 4 13
YDL247W-A 0 0
MPH2 1 0
SOR2 0 0
HXT15 6 139
THI13 14 359
AAD4 24 1296
YDL242W 18 604
YDL241W 6 176
YDL240C-A 29 671
LRG1 27 287
ADY3 33 402
GUD1 31 1367
AIM6 10 41
PHO13 12 135
YPD1 1 0
GYP7 42 1278
MFG1 26 536
OST4 0 0
BRE4 43 827
PTP1 20 229
SSB1 12 65
YDL228C 5 11
HO 91 1193
GCS1 1 0
SHS1 18 530
WHI4 34 389
HBT1 90 2339
FMP45 15 129
YDL221W 56 2856
CDC13 45 1315
DTD1 7 42
YDL218W 35 682
TIM22 3 2
RRI1 20 760
GDH2 81 3616
PRR2 57 1891
NOP6 13 231
SHR3 3 4
YDL211C 44 886
UGA4 47 1215
CWC2 0 0
NHP2 1 0
GLE1 2 8
YDL206W 46 1200
HEM3 1 0
RTN2 22 682
ACK1 38 365
MRPL11 1 0
TRM8 11 90
MGT1 14 193
YDL199C 31 727
GGC1 0 0
ASF2 50 929
YDL196W 33 2094
SEC31 0 0
SNF3 29 482
NUS1 0 0
ARF1 2 2
RPL35A 1 0
UFD2 17 533
RBS1 26 683
PPH22 20 828
YDL187C 6 12
YDL186W 8 43
YDL185C-A 5 70
VMA1 2 1
RPL41A 0 0
YDL183C 16 241
LYS20 22 601
INH1 5 88
YDL180W 12 127
PCL9 8 36
DLD2 55 2457
YDL177C 12 147
YDL176W 16 187
AIR2 27 833
DLD1 37 1512
PAR32 19 192
YDL172C 14 150
GLT1 111 3529
UGA3 25 506
UGX2 13 87
SFA1 15 391
NRP1 56 1576
FAP7 3 2
CDC36 1 0
CDC9 6 15
YDL163W 4 8
YDL162C 34 1153
ENT1 19 300
MHF2 6 63
DHH1 5 16
YDL159W-A 12 115
STE7 30 966
YDL159C-B 1 0
YDL158C 7 192
YDL157C 4 11
CMR1 57 1249
CLB3 18 217
MSH5 57 1389
SAS10 2 2
YDL152W 13 449
BUD30 2 3
RPC53 3 4
ATG9 14 252
NOP14 10 126
RPN5 4 31
LDB17 17 211
COP1 2 2
YDL144C 34 1561
CCT4 0 0
CRD1 18 350
BPL1 1 0
RPO21 12 109
SCM3 2 1
RGT2 40 755
ARF2 16 463
RPL35B 6 82
RDI1 16 473
PPH21 25 520
RPL41B 2 2
SRF1 23 693
CDC53 6 47
LYS21 25 613
STF1 7 81
RPP1B 9 170
YDL129W 20 335
VCX1 23 334
PCL2 52 1527
CDC48 5 29
HNT1 15 92
YDL124W 22 375
SNA4 22 430
UBP1 24 525
YDL121C 9 299
YFH1 0 0
YDL119C 18 237
YDL118W 6 14
