gene_name number_of_transposon_per_gene number_of_read_per_gene
CWC15 19 120
SEC1 7 46
TRM82 41 308
SEC5 42 321
TAF10 2 1
CDC37 0 0
STB3 12 56
YDR169C-A 2 1
SEC7 2 4
HSP42 21 161
SUP35 2 1
ARG82 2 1
HMO1 13 142
RSM24 11 38
NGG1 24 244
UBC1 1 0
SDH4 5 60
CSN9 6 59
YDR179W-A 14 83
SCC2 2 1
SAS4 25 287
CDC1 1 0
YDR182W-A 9 123
PLP1 13 145
YDR183C-A 5 32
ATC1 11 83
UPS3 16 205
YDR186C 37 373
YDR187C 14 123
CCT6 1 0
SLY1 0 0
RVB1 0 0
HST4 23 342
NUP42 27 191
YDR193W 9 71
MSS116 15 59
YDR194W-A 3 3
REF2 11 77
CAB5 3 55
CBS2 12 78
RKM2 16 96
YDR199W 6 30
VPS64 14 138
SPC19 1 0
RAV2 11 77
YDR203W 7 34
COQ4 16 174
MSC2 24 231
EBS1 39 510
UME6 28 277
MSS4 13 101
YDR209C 7 18
YDR210W 3 3
GCD6 5 22
TCP1 0 0
UPC2 67 994
AHA1 30 392
YDR215C 53 672
ADR1 27 149
RAD9 22 281
SPR28 31 226
MFB1 14 71
YDR220C 25 87
GTB1 45 1176
YDR222W 17 162
CRF1 31 202
HTB1 0 0
HTA1 5 18
ADK1 1 0
SIR4 24 186
PCF11 1 0
IVY1 49 320
YDR230W 13 186
COX20 19 234
HEM1 0 0
RTN1 5 47
LYS4 14 36
PRP42 1 0
FMN1 2 8
MRPL7 11 76
SEC26 0 0
YDR239C 63 961
SNU56 8 20
BUD26 15 284
AMD2 26 390
PRP28 0 0
PEX5 27 315
MNN10 6 14
TRS23 1 0
YDR246W-A 41 792
VHS1 28 511
YDR248C 10 112
YDR249C 23 210
YDR250C 35 529
PAM1 32 214
BTT1 6 11
MET32 6 12
CHL4 16 63
RMD5 9 46
CTA1 64 999
RKM4 12 34
HSP78 36 473
YAP6 39 476
SWM1 51 926
EXG2 57 819
YDR262W 13 81
DIN7 29 294
AKR1 2 5
PEX10 9 80
HEL2 30 499
CIA1 1 0
MSW1 10 77
YDR269C 2 3
CCC2 34 543
YDR271C 12 248
GLO2 22 386
DON1 26 235
YDR274C 86 1511
BSC2 19 256
PMP3 6 9
MTH1 16 310
YDR278C 22 201
RNH202 21 287
RRP45 4 13
PHM6 7 10
